Name,City,State,Website
Sikkim Manipal University,Gangtok,Sikkim,http://www.smu.edu.in
Vinayaka Missions Sikkim University ,Gangtok,Sikkim,http://www.vmsuniversity.in
ICFAI University,Agartala,Tripura,https://iutripura.edu.in/
Integral University ,Lucknow,Uttar Pradesh,www.integraluniversity.ac.in
Mangalayatan University,Aligarh,Uttar Pradesh,http://www.mangalayatan.in
Teerthanker Mahaveer University,Delhi,Delhi,http://www.tmu.ac.in
Swami Vivekananda Subharti University,Delhi,Delhi,www.subharti.org 
Dev Sanakrit Vishwavidyalaya,Gaya,Bihar,http://www.dsvv.ac.in
Himgiri Zee University,Dehradun,Uttarakhand,http://himgirizeeuniversity.edu.in
The ICFAI University,Dehradun,Uttarakhand,http://www.iudehradun.edu.in/
University of Petroleum and Energy Studies,Dehradun,Uttarakhand,http://www.upes.ac.in
University of Patanjali ,Delhi,Delhi,http://patanjaliuniversity.com
Punjab University,Chandigarh ,Chandigarh,http://www.puchd.ac.in
National Law University,Delhi,Delhi,http://nludelhi.ac.in
Indraprastha Institute of Information Technology,Delhi,Delhi,http://www.iiitd.ac.in
Guru Gobind Singh Indraprastha Vishwavidyalaya,Delhi,Delhi,http://www.ipu.ac.in
Delhi Technological University,Delhi,Delhi,http://www.dce.edu
Ambedkar University Delhi (AUD),Delhi,Delhi,http://www.aud.ac.in
Maulana Abul Kalam Azad University of Technology,Kolkata ,West Bengal,http://www.wbut.ac.in
The West Bengal University of Health Sciences,Kolkata ,West Bengal,http//www.wbuhs.ac.in
Patna University,Patna,Bihar,http://www.patnauniversity.ac.in
National Law University,Cuttack,Odisha,http://www.nluo.ac.in
Arybhatta Knowledge University,Patna,Bihar,http://www.akubiharf.ac.in
National Institute of Technology,Agartala,Tripura,http://www.nitagartala.in
National Institute of Technology,Raipur,Chhattisgarh,http://www.gcetraipur.ac.in
Malviya National Institute of Technology,Jaipur,Rajasthan,http://www.mnti.ac.in
Motilal Nehru National Institute of Technolgy,Allahabad,Uttar Pradesh,http://www.mnit.ac.in
National Insitute of Technology,Calicut,Kerala,http://www.nitc.ac.in
National Institute of Technology Karnataka,Mangalore,Karnataka,http://www.nitk.ac.in
National Institute of Technology,Silchar,Assam,http://www.nits.ac.in
Maulana Azad National Institute of Technology,Bhopal ,Madhya Pradesh,
National Institute of Technology,Warangal,Telangana,http://www.nitw.ac.in
Sardar Valabh Bhai National Institute  of Technology,Surat,Gujarat,http://www.svnit.ac.in
National Institute of Technology,Jamshedpur,Jharkhand,http://www.nitjsr.ac.in
National Institute of Technology,Patna,Bihar,http://www.nitp.ac.in
National Institute of Technology,Jammu,Jammu and Kashmir,http://www.nit.ac.in
Indian Institute of Technology,Guwahati,Assam,http://www.iitg.ac.in
